CODI_CAPA;NOM_CAPA_CAT;NOM_CAPA_CAST;NOM_CAPA_ANG;COORD_X;COORD_Y;EQUIPAMENT;TELEFON;ADRECA
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426054,563;4583254,718;BUS -64--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426059,54;4581071,454;BUS -54-57-157-D20-H8--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426065,839;4583949,042;BUS -60-66-130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426072,533;4583308,489;BUS -22-68-75--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426081,614;4576093,775;BUS -109--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426086,312;4584180,534;BUS -V7--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426105,081;4583920,51;BUS -60-66-130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426143,301;4581258,159;BUS -54--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426146,739;4582092,318;BUS -7-67-75-L14--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426150,312;4584168,888;BUS -130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426158,05;4581290,402;BUS -54--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426186,681;4584151,466;BUS -66--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426195,31;4582143,658;BUS -7-33-67-75-113-L14-L79-H6--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426202,743;4581264,478;BUS -D20--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426213,953;4582257,215;BUS -33--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426219,901;4582877,56;BUS -63-78--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426225,204;4584119,46;BUS -60-66--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426233,311;4582218,772;BUS -60--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426234,301;4576417,189;BUS -109--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426259,324;4581104,863;BUS -57-157--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426259,329;4583697,224;BUS -V3--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426267,326;4585774,769;BUS -111--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426271,317;4581342,126;BUS -H8--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426271,332;4581364,998;BUS -57-157--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426280,844;4585720,841;BUS -111--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426283,642;4585841,595;BUS -111--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426285,215;4582788,627;BUS -63-78--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426288,442;4576523,456;BUS -21--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426293,315;4575414,198;BUS -109-PR4--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426304,308;4584182,195;BUS -60-66-130-V7--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426306,751;4584124,363;BUS -66-130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426315,328;4583639,139;BUS -V3--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426328,125;4582185,907;BUS -L97--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426333,319;4584280,94;BUS -V7--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426342,315;4584288,399;BUS -60--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426346,162;4575371,833;BUS -PR4--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426346,325;4582168,767;BUS -L97-L79-H6--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426348,317;4581406,517;BUS -54--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426358,295;4583539,272;BUS -22-64-68-75--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426371,926;4584198,948;BUS -66-130--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426378,392;4583530,043;BUS -22-64-68-75--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426379,745;4576451,867;BUS -21-109-110--;;
K014;Autobusos diürns                                ;Autobuses diurnos                                  ;Day buses                                       ;426383,052;4583726,005;BUS -130--;;
