,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
888316,1.0,41.384248,2.163072,2.0,42.0,Apartment,4.5,Private room,Sant Antoni,83.84,18.34,23.3146067416,64.19
8883619,1.0,41.384283,2.182381,1.0,29.0,Bed & Breakfast,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",97.81,5.0,14.3302180685,6.04166666667
889491,0.0,41.400426,2.201777,2.0,56.0,Bed & Breakfast,4.5,Private room,el Poblenou,91.78,12.17,14.465408805,56.7933333333
889575,1.0,41.422678,2.177205,2.0,45.0,House,5.0,Entire home/apt,el Guinard,95.34,48.67,63.2352941176,182.5125
8896319,1.0,41.384743,2.181903,2.0,50.0,Apartment,3.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",14.79,2.0,21.2765957447,8.33333333333
889638,1.0,41.37762,2.176072,3.0,100.0,Apartment,4.5,Entire home/apt,el Raval,99.73,15.5,19.7674418605,193.75
8912392,0.0,41.396746,2.162811,2.0,82.0,Apartment,5.0,Entire home/apt,la Dreta de l'Eixample,95.07,1.0,46.0317460317,6.83333333333
8912474,0.0,41.37946,2.189358,2.0,26.0,Apartment,4.5,Private room,la Barceloneta,99.73,3.0,17.8247734139,6.5
8914555,1.0,41.370649,2.1658,1.0,22.0,Apartment,4.5,Private room,el Poble Sec,63.84,4.0,22.9166666667,3.66666666667
8928373,0.0,41.38637,2.175754,1.0,35.0,Apartment,5.0,Private room,"Sant Pere, Santa Caterina i la Ribera",14.25,1.0,67.1532846715,1.45833333333
8929899,4.0,41.386139,2.176648,1.0,35.0,Loft,3.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",92.88,3.0,100.0,4.375
893129,1.0,41.397087,2.135713,1.0,125.0,Apartment,4.5,Entire home/apt,Sant Gervasi - Galvany,98.08,2.0,17.5792507205,10.4166666667
8932693,1.0,41.402375,2.156477,3.0,55.0,Apartment,3.0,Entire home/apt,la Vila de Grcia,3.01,2.0,57.7840909091,13.75
8933578,0.0,41.391942,2.185381,2.0,220.0,Apartment,4.0,Entire home/apt,el Parc i la Llacuna del Poblenou,99.73,1.0,24.6376811594,18.3333333333
8947017,1.0,41.396212,2.172887,2.0,50.0,Apartment,5.0,Private room,la Dreta de l'Eixample,24.66,3.0,28.1609195402,12.5
894830,0.0,41.38552,2.183589,1.0,94.0,Apartment,4.5,Entire home/apt,"Sant Pere, Santa Caterina i la Ribera",95.89,42.0,31.637254902,164.5
8950595,0.0,41.37339,2.159543,1.0,37.0,Apartment,5.0,Private room,el Poble Sec,95.89,3.0,17.032967033,4.625
8951827,3.0,41.379152,2.183126,2.0,80.0,Boat,5.0,Private room,el Barri Gtic,70.41,1.0,30.2884615385,6.66666666667
8955406,1.0,41.381013,2.188642,1.0,58.0,Apartment,4.0,Entire home/apt,la Barceloneta,13.97,1.0,66.5760869565,2.41666666667
8959182,2.0,41.377858,2.166197,1.0,45.0,Apartment,3.0,Entire home/apt,el Raval,10.96,5.0,20.8333333333,9.375
8962849,0.0,41.402832,2.173876,1.0,20.0,Apartment,5.0,Private room,la Sagrada Famlia,35.07,1.0,47.0643939394,0.833333333333
896367,0.0,41.399635,2.177161,3.0,83.0,Apartment,5.0,Entire home/apt,el Fort Pienc,88.77,40.17,14.6341463415,416.76375
8968228,1.0,41.405982,2.215603,1.0,80.0,Apartment,3.0,Entire home/apt,Diagonal Mar i el Front Martim del Poblenou,13.7,1.0,12.389380531,3.33333333333
8976872,1.0,41.384137,2.182692,1.0,27.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",9.32,2.0,16.5289256198,2.25
