,availability,avg_estimated_bookings,avg_minstay,avg_occupancy_rate,avg_price,avg_reviews_listing,income_month,income_year,listings,most_common_neigh
9740673,92.6,12.0,0.0,54.5,86.0,24.0,0.0,0.0,1,la Bordeta
14311810,34.8,3.0,3.0,9.6,69.0,6.0,51.8,621.0,1,el Camp d'en Grassot i Grcia Nova
663940,94.0,18.8,1.5,10.0,1994.5,37.5,10593.6,127123.0,2,Sant Antoni
6935958,99.5,2.0,1.0,8.7,150.0,4.0,25.0,300.0,1,Sant Antoni
13762982,96.2,3.5,2.0,4.9,35.0,7.0,20.4,245.0,1,"Sant Pere, Santa Caterina i la Ribera"
9568648,84.1,2.0,4.0,0.4,119.0,4.0,79.3,952.0,1,la Sagrada Famlia
26518935,99.7,2.5,1.0,25.0,100.0,5.0,20.8,250.0,1,Sant Antoni
9937293,67.8,7.4,2.0,4.6,120.4,14.8,827.6,9931.0,5,el Congrs i els Indians
885134,95.4,10.3,1.7,16.0,41.0,20.5,184.9,2218.3,3,el Coll
27636974,38.9,1.0,2.0,2.1,80.0,2.0,13.3,160.0,1,el Fort Pienc
5677460,86.8,17.0,1.0,41.0,3095.0,34.0,4384.6,52615.0,1,"Sant Pere, Santa Caterina i la Ribera"
16826773,98.9,13.5,1.0,2.1,31.0,27.0,34.9,418.5,1,la Dreta de l'Eixample
16174380,93.7,0.5,2.0,29.6,99.0,1.0,8.3,99.0,1,el Clot
6365593,82.7,17.3,2.0,1.4,99.0,34.7,286.0,3432.3,1,la Sagrada Famlia
1630619,96.4,0.5,7.0,2.6,140.0,1.0,40.8,490.0,1,la Barceloneta
10011042,99.2,3.0,2.0,20.4,32.0,6.0,16.0,192.0,1,Sants
3536283,24.9,8.0,4.0,7.4,75.0,16.0,200.0,2400.0,1,l'Antiga Esquerra de l'Eixample
6767012,98.9,11.6,2.0,9.7,106.7,23.2,642.6,7710.9,3,la Vila de Grcia
5063078,24.7,10.8,5.0,5.0,200.0,21.5,895.8,10750.0,1,el Poblenou
3522986,99.5,9.8,1.0,0.9,50.0,19.5,40.6,487.5,1,el Parc i la Llacuna del Poblenou
6775211,70.7,10.8,5.0,12.1,80.0,21.5,358.3,4300.0,1,el Poblenou
3522988,98.9,4.5,3.0,4.2,35.0,9.0,39.4,472.5,1,el Barri Gtic
6851314,96.2,11.4,2.0,12.9,99.0,22.8,188.4,2261.2,1,Sants
28090802,79.2,0.5,1.0,13.2,120.0,1.0,5.0,60.0,1,Hostafrancs
49408600,99.7,0.5,2.0,1.5,84.0,1.0,7.0,84.0,1,el Putxet i el Farr
21493913,24.9,4.0,1.0,7.9,70.0,8.0,23.3,280.0,1,la Dreta de l'Eixample
8675769,99.7,0.5,1.0,12.0,110.0,1.0,4.6,55.0,1,el Baix Guinard
3981757,98.4,14.3,2.0,3.9,49.0,28.5,116.4,1396.5,1,la Barceloneta
35945931,91.1,15.5,1.0,26.5,37.3,31.0,137.6,1651.0,3,el Barri Gtic
2818497,85.2,4.0,3.0,7.1,100.0,8.0,100.0,1200.0,1,la Vila de Grcia
34970767,97.5,1.0,2.0,4.3,131.0,2.0,21.8,262.0,1,Sant Antoni
16146885,97.7,20.7,1.0,6.4,49.3,41.3,255.9,3070.5,3,el Parc i la Llacuna del Poblenou
10912198,89.0,4.5,1.0,9.2,55.0,9.0,20.6,247.5,1,"Sant Pere, Santa Caterina i la Ribera"
2638282,64.1,20.1,3.0,82.5,84.0,40.2,421.8,5061.4,1,Sant Antoni
7543543,2.7,1.0,1.0,3.3,82.0,2.0,6.8,82.0,1,la Bordeta
8790476,95.1,1.5,1.0,21.2,200.0,3.0,25.0,300.0,1,el Poble Sec
12952013,8.8,19.8,3.0,1.7,135.0,39.5,666.6,7998.8,1,la Sagrada Famlia
5489103,97.3,18.7,2.0,1.0,117.0,37.3,364.0,4367.6,1,el Camp de l'Arpa del Clot
877008,98.9,2.0,1.0,4.0,180.0,4.0,30.0,360.0,1,Sant Gervasi - Galvany
3498449,66.0,17.3,5.0,17.3,65.0,34.5,467.2,5606.3,1,Sant Andreu
6119890,99.7,16.6,1.0,9.1,99.0,33.2,136.9,1642.4,1,el Poble Sec
18407891,99.5,0.5,3.0,26.9,35.0,1.0,4.4,52.5,1,el Parc i la Llacuna del Poblenou
48185813,89.6,0.5,2.0,2.4,20.0,1.0,1.7,20.0,1,el Camp d'en Grassot i Grcia Nova
43614678,93.4,12.0,2.0,18.8,25.0,24.0,50.0,600.0,1,Porta
2646488,90.7,11.5,4.0,4.3,89.0,23.0,341.2,4094.0,1,l'Antiga Esquerra de l'Eixample
6619609,43.6,2.0,3.0,81.5,80.0,4.0,40.0,480.0,1,Sant Antoni
8020442,79.7,3.8,2.0,11.9,81.0,7.5,50.6,607.5,1,Provenals del Poblenou
16327131,57.9,15.3,1.0,3.3,55.5,30.5,134.0,1607.5,2,"Sant Pere, Santa Caterina i la Ribera"
9404892,21.1,11.0,2.0,11.3,39.0,22.0,71.5,858.0,1,Torre Bar
