,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
799240,3.0,41.375738,2.165015,3.0,69.0,Apartment,4.0,Entire home/apt,Sant Antoni,33.42,10.5,3.1914893617,90.5625
8004703,5.0,41.379368,2.153151,1.0,39.0,Apartment,4.0,Private room,la Nova Esquerra de l'Eixample,97.26,10.0,1.29682997118,16.25
800557,2.0,41.387903,2.198647,3.0,140.0,Boat,4.5,Entire home/apt,la Vila Olmpica del Poblenou,5.48,2.0,0.510204081633,35.0
8009809,2.0,41.374534,2.15577,1.0,25.0,Bed & Breakfast,5.0,Private room,el Poble Sec,47.4,6.0,0.852272727273,6.25
8027751,2.0,41.407813,2.149924,1.0,35.0,Apartment,5.0,Private room,Vallcarca i els Penitents,28.77,1.0,7.69230769231,1.45833333333
8030534,4.0,41.386032,2.145718,3.0,110.0,Apartment,4.5,Entire home/apt,la Nova Esquerra de l'Eixample,99.18,5.0,21.3,68.75
8038735,4.0,41.372609,2.165947,1.0,100.0,Apartment,5.0,Shared room,el Poble Sec,99.45,1.0,7.33760683761,4.16666666667
804105,2.0,41.387551,2.161202,1.0,18.0,Apartment,4.5,Private room,l'Antiga Esquerra de l'Eixample,24.38,33.49,0.847457627119,25.1175
8044148,2.0,41.407702,2.162359,1.0,16.0,Apartment,5.0,Private room,el Camp d'en Grassot i Grcia Nova,99.45,2.0,1.66666666667,1.33333333333
8044639,3.0,41.415045,2.181842,3.0,85.0,House,5.0,Entire home/apt,el Camp de l'Arpa del Clot,79.18,9.0,0.422535211268,95.625
8048616,7.0,41.392194,2.19796,3.0,55.0,Apartment,4.5,Entire home/apt,la Vila Olmpica del Poblenou,92.33,1.0,2.77777777778,6.875
8067911,4.0,41.38194,2.159922,2.0,71.0,Apartment,4.0,Private room,Sant Antoni,81.37,6.0,0.828729281768,35.5
8069248,3.0,41.370432,2.145262,3.0,18.0,Apartment,4.0,Private room,la Font de la Guatlla,20.82,11.0,0.415512465374,24.75
8078027,3.0,41.402555,2.150552,2.0,19.0,Apartment,4.5,Private room,la Vila de Grcia,20.27,8.0,15.9090909091,12.6666666667
8081591,9.0,41.382824,2.172302,3.0,135.0,Apartment,3.5,Entire home/apt,el Barri Gtic,23.84,11.0,8.71104815864,185.625
8085433,2.0,41.38412,2.180121,2.0,34.0,Apartment,4.0,Private room,"Sant Pere, Santa Caterina i la Ribera",98.9,5.0,2.19941348974,14.1666666667
8109657,3.0,41.382087,2.157899,2.0,95.0,Apartment,4.5,Entire home/apt,la Nova Esquerra de l'Eixample,66.3,23.0,2.23880597015,182.083333333
81291,2.0,41.404765,2.20264,3.0,129.0,Apartment,5.0,Entire home/apt,el Poblenou,90.41,14.0,1.51006711409,225.75
813031,4.0,41.373938,2.165599,3.0,100.0,Apartment,4.5,Entire home/apt,el Poble Sec,96.16,9.0,0.414364640884,112.5
8135722,3.0,41.397195,2.180636,2.0,94.0,Apartment,5.0,Private room,el Fort Pienc,99.45,3.0,18.75,23.5
8149057,4.0,41.409094,2.185528,1.0,30.0,Apartment,5.0,Private room,el Camp de l'Arpa del Clot,99.73,1.0,9.87845303867,1.25
8162751,3.0,41.407565,2.198661,1.0,23.0,Bed & Breakfast,5.0,Private room,Provenals del Poblenou,23.29,3.0,1.61290322581,2.875
8180408,2.0,41.394167,2.169452,1.0,96.0,Apartment,4.5,Entire home/apt,la Dreta de l'Eixample,99.73,1.0,18.75,4.0
8180810,2.0,41.407728,2.149351,3.0,35.0,Apartment,4.0,Private room,Vallcarca i els Penitents,98.63,1.0,4.41176470588,4.375
8189155,2.0,41.426513,2.189948,1.0,24.0,House,4.5,Private room,la Sagrera,98.9,8.0,9.57446808511,8.0
8223573,2.0,41.40083,2.161015,1.0,22.0,Apartment,4.5,Private room,la Vila de Grcia,98.9,13.0,1.25348189415,11.9166666667
8239280,2.0,41.377811,2.164259,4.0,65.0,Apartment,4.5,Entire home/apt,Sant Antoni,93.97,3.0,10.078125,32.5
8270832,2.0,41.382312,2.160622,1.0,175.0,Apartment,5.0,Entire home/apt,Sant Antoni,86.85,1.0,13.2352941176,7.29166666667
8303878,3.0,41.403361,2.166976,3.0,105.0,Apartment,4.5,Entire home/apt,el Camp d'en Grassot i Grcia Nova,79.18,2.0,4.83193277311,26.25
8305335,2.0,41.406004,2.170086,1.0,30.0,Apartment,3.5,Private room,la Sagrada Famlia,99.73,3.0,16.9698795181,3.75
8307443,2.0,41.402595,2.164217,1.0,41.0,Apartment,5.0,Private room,el Camp d'en Grassot i Grcia Nova,23.01,1.0,8.25471698113,1.70833333333
8316729,3.0,41.381984,2.164364,2.0,24.0,Apartment,4.5,Private room,el Raval,89.59,4.0,16.8413173653,8.0
8322377,4.0,41.38651,2.153362,2.0,21.0,Apartment,4.5,Private room,l'Antiga Esquerra de l'Eixample,93.15,4.0,5.94059405941,7.0
8331868,3.0,41.440976,2.18692,1.0,18.0,Apartment,4.5,Private room,Sant Andreu,39.18,6.0,1.96078431373,4.5
8346864,2.0,41.379834,2.158145,1.0,50.0,Apartment,4.5,Private room,Sant Antoni,98.9,4.0,6.33802816901,8.33333333333
8349486,2.0,41.373261,2.160869,3.0,70.0,Apartment,4.0,Entire home/apt,el Poble Sec,99.73,5.0,16.9391447368,43.75
8369307,2.0,41.384331,2.169946,2.0,80.0,Apartment,4.5,Private room,el Raval,42.74,15.0,4.46703296703,100.0
8370556,2.0,41.370696,2.164297,3.0,65.0,Apartment,4.5,Entire home/apt,el Poble Sec,49.86,2.0,0.470219435737,16.25
838280,2.0,41.407605,2.156391,2.0,65.0,Apartment,4.0,Entire home/apt,la Vila de Grcia,98.63,12.0,1.12781954887,65.0
838389,2.0,41.379083,2.175939,4.0,200.0,Apartment,4.5,Entire home/apt,el Barri Gtic,99.73,12.5,11.046961326,416.666666667
8384201,4.0,41.413884,2.139792,1.0,23.0,Apartment,4.5,Private room,Vallcarca i els Penitents,99.73,2.0,1.77514792899,1.91666666667
8385622,3.0,41.379172,2.13495,1.0,16.0,Apartment,4.0,Private room,Sants,99.18,6.0,6.81818181818,4.0
