,l_count,latitude,longitude,minstay,price,property_type,rating,room_type,neighbourhood,Availability,Total_rcounts,Occupancy_rate,Income_month
1078049,5.0,41.3844,2.158912,3.0,80.0,Apartment,4.5,Entire home/apt,l'Antiga Esquerra de l'Eixample,94.52,16.34,5.20408163265,163.4
1078585,0.0,41.382439,2.132867,1.0,34.0,Apartment,4.5,Private room,les Corts,99.73,10.0,18.8545081967,14.1666666667
1078633,1.0,41.443392,2.184769,1.0,25.0,Apartment,5.0,Private room,la Prosperitat,56.71,1.0,17.7207207207,1.04166666667
1079887,0.0,41.384754,2.145962,2.0,98.0,Apartment,4.5,Entire home/apt,la Nova Esquerra de l'Eixample,0.27,27.0,4.60893854749,220.5
1081892,2.0,41.393537,2.182829,3.0,27.0,Apartment,4.0,Private room,el Fort Pienc,95.34,21.17,10.3230337079,71.44875
1082228,0.0,41.410487,2.148353,3.0,80.0,Apartment,0.0,Entire home/apt,la Salut,99.73,1.0,26.7954545455,10.0
1082363,0.0,41.410492,2.147238,3.0,80.0,Apartment,5.0,Entire home/apt,Vallcarca i els Penitents,99.73,1.0,3.18181818182,10.0
1082641,0.0,41.406253,2.181303,1.0,39.0,Apartment,4.0,Private room,la Sagrada Famlia,96.99,38.5,23.285198556,62.5625
1083115,0.0,41.373791,2.157042,2.0,25.0,Apartment,4.5,Private room,el Poble Sec,99.18,41.66,12.2549019608,86.7916666667
1085376,1.0,41.395657,2.180917,0.0,61.0,Apartment,4.5,Entire home/apt,el Fort Pienc,96.16,36.33,11.0644599303,0.0
1085881,0.0,41.393868,2.193687,3.0,91.0,Apartment,4.5,Entire home/apt,la Vila Olmpica del Poblenou,84.11,25.5,5.83928571429,290.0625
1086040,0.0,41.411236,2.174637,3.0,80.0,Apartment,4.5,Entire home/apt,la Sagrada Famlia,74.52,14.0,14.5167173252,140.0
1086211,1.0,41.372036,2.164674,3.0,80.0,Bed & Breakfast,4.5,Private room,el Poble Sec,67.12,8.5,13.5,85.0
1086243,0.0,41.379699,2.127308,3.0,16.0,Apartment,4.5,Private room,la Maternitat i Sant Ramon,66.85,30.67,2.06611570248,61.34
1086536,2.0,41.384889,2.181679,1.0,15.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",91.23,39.34,19.0854700855,24.5875
1088355,0.0,41.37742,2.162956,3.0,139.0,Apartment,4.5,Entire home/apt,Sant Antoni,98.08,11.0,90.7251655629,191.125
1092321,1.0,41.399289,2.171302,0.0,90.0,Apartment,4.0,Entire home/apt,la Dreta de l'Eixample,97.53,24.5,14.6011235955,0.0
1092780,0.0,41.401253,2.158427,2.0,55.0,Apartment,5.0,Entire home/apt,la Vila de Grcia,72.33,47.16,8.15217391304,216.15
1093633,1.0,41.385058,2.18276,1.0,41.0,Apartment,4.5,Private room,"Sant Pere, Santa Caterina i la Ribera",90.41,7.0,3.92156862745,11.9583333333
1093783,0.0,41.380018,2.174645,2.0,50.0,Apartment,4.5,Entire home/apt,el Barri Gtic,75.89,43.0,1.31578947368,179.166666667
1094478,1.0,41.399271,2.160451,2.0,25.0,Apartment,4.5,Private room,la Vila de Grcia,83.84,25.0,20.5277777778,52.0833333333
1094534,3.0,41.376522,2.153119,3.0,39.0,Apartment,4.5,Private room,Sant Antoni,78.63,21.17,3.20723684211,103.20375
