,longitude,latitude,price
640268,2.152459,41.380823,32.0
9520255,2.206554,41.40261,89.0
3769570,2.186196,41.398628,20.0
2545855,2.172043,41.401296,22.0
1389752,2.178694,41.383878,198.0
9989207,2.170611,41.382886,96.0
10677883,2.190573,41.412539,20.0
11533104,2.168491,41.398416,140.0
1671851,2.158834,41.388057,75.0
1078046,2.169355,41.390805,50.0
4153256,2.17558,41.381666,79.0
1078049,2.158912,41.3844,80.0
728017,2.169685,41.414433,38.0
7132606,2.164668,41.375821,109.0
11695195,2.178072,41.406766,41.0
688462,2.150757,41.411597,11.0
7659324,2.209954,41.408679,141.0
7683804,2.173533,41.402834,24.0
6047611,2.179933,41.395347,135.0
6184151,2.158487,41.379907,25.0
2424795,2.15377,41.407887,39.0
6638369,2.120763,41.376695,50.0
4120786,2.16528,41.387638,75.0
11606020,2.192077,41.40631,120.0
7823548,2.17156,41.397664,31.0
9252259,2.170676,41.405138,40.0
10482008,2.196072,41.412448,53.0
1197085,2.168295,41.381205,80.0
9693459,2.158609,41.376152,55.0
10903902,2.173058,41.419062,20.0
1075855,2.163197,41.408674,90.0
3059180,2.180891,41.384288,85.0
6069218,2.183365,41.406944,251.0
10876338,2.176146,41.388066,95.0
9309163,2.182005,41.384509,105.0
11084174,2.138855,41.35885,22.0
8216455,2.170865,41.404651,150.0
9208663,2.17479,41.381012,118.0
10378749,2.177886,41.384881,50.0
3907905,2.174467,41.407926,58.0
11382539,2.158137,41.402195,95.0
751832,2.166129,41.372799,127.0
735587,2.159428,41.440014,33.0
11643546,2.179556,41.382104,59.0
3365207,2.147545,41.384895,69.0
9423764,2.176134,41.462201,12.0
6508853,2.16256,41.392675,250.0
6030832,2.137408,41.374579,16.0
3254410,2.155913,41.436098,181.0
3910166,2.179806,41.38329,30.0
9712536,2.153866,41.37993,25.0
759054,2.165285,41.395793,78.0
1106358,2.180265,41.403997,66.0
11391028,2.11943,41.402707,50.0
2743539,2.205226,41.400307,75.0
10483977,2.161514,41.374353,26.0
9444883,2.159167,41.398155,60.0
6623379,2.148253,41.382391,89.0
8469164,2.147375,41.373331,45.0
4685073,2.166021,41.387652,230.0
6130261,2.183337,41.397949,37.0
3097242,2.161914,41.387045,110.0
5466153,2.112035,41.409902,50.0
10995603,2.177524,41.376651,46.0
2443369,2.176117,41.383003,152.0
8966420,2.150785,41.378075,35.0
11672803,2.139851,41.404756,26.0
5426411,2.164034,41.396352,100.0
4926975,2.124666,41.380863,64.0
10992050,2.16107,41.387326,30.0
3743798,2.155835,41.376199,22.0
648112,2.144913,41.38222,21.0
11026440,2.18904,41.378846,85.0
4615377,2.175915,41.376446,50.0
9722238,2.165325,41.400819,159.0
8640260,2.172227,41.405177,15.0
946122,2.194584,41.393359,107.0
4214821,2.157689,41.397086,139.0
7753535,2.162352,41.431699,28.0
7225701,2.183141,41.381726,28.0
7478039,2.177836,41.39844,25.0
7848314,2.178667,41.385529,69.0
6827430,2.172591,41.404964,25.0
11725299,2.213713,41.406272,1171.0
6281414,2.166321,41.371381,55.0
7899437,2.171332,41.398098,120.0
485440,2.189284,41.408643,60.0
10084062,2.175564,41.396238,50.0
9574468,2.182194,41.447835,46.0
976516,2.161101,41.372901,50.0
10777560,2.178798,41.413497,75.0
10466771,2.1375,41.411235,25.0
5776541,2.1738,41.424743,39.0
11276847,2.185491,41.384719,35.0
9649967,2.158918,41.403003,19.0
11354893,2.148721,41.380254,400.0
6595181,2.17872,41.385649,65.0
